"Aeshnidae" "Astacidae" "Athericidae" "Baetidae" "Beraeidae" "Blephariceridae" "Brachycentridae" "Caenidae" "Calamoceratidae" "Calopterygidae" "Ceratopogonidae" "Chironomidae" "Chloroperlidae" "Chrysomelidae" "Cordulegastridae" "Corduliidae" "Culicidae" "Dixidae" "Dryopidae" "Dugesiidae" "Dytiscidae" "Elmidae" "Empididae" "Ephemerellidae" "Ephemeridae" "Gammaridae" "Gerridae" "Glossosomatidae" "Goeridae" "Gomphidae" "Gyrinidae" "Helophoridae" "Heptageniidae" "Hirudinea" "Hydraenidae" "Hydrobiidae" "Hydrochidae" "Hydrometridae" "Hydropsychidae" "Hydroptilidae" "Lepidostomatidae" "Leptoceridae" "Leptophlebiidae" "Leuctridae" "Limnephilidae" "Limoniidae" "Lymnaeidae" "Mesoveliidae" "Nemouridae" "Neritidae" "Odontoceridae" "Oligochaeta" "Pediciidae" "Perlidae" "Perlodidae" "Philopotamidae" "Planariidae" "Planorbidae" "Polycentropodidae" "Polymitarcyidae" "Potamanthidae" "Psychomyiidae" "Ptychopteridae" "Pyralidae" "Rhagionidae" "Rhyacophilidae" "Scirtidae" "Sericostomatidae" "Sialidae" "Simuliidae" "Sphaeriidae" "Stratiomyiidae" "Tabanidae" "Thaumaleidae" "Tipulidae" "Veliidae"
"AIZK_01" 0 0 4 7 0 0 0 0 0 0 2 12 0 0 0 0 0 1 0 5 1 0 0 0 2 0 0 0 0 0 0 0 10 0 0 1 0 0 0 0 0 0 121 15 0 5 0 0 3 0 1 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 15 0 1 0 0 0 0 0 4
"AIZK_02" 0 0 2 34 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 3 0 0 1 0 1 0 0 0 0 0 4 0 0 0 0 0 7 0 0 0 5 6 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 1 1 0 2 0 0 0 0 0 0 0 0
"AIZK_03" 0 0 5 7 0 0 0 1 0 0 0 10 0 0 0 0 0 0 0 0 0 5 0 3 0 0 4 0 1 0 0 0 4 0 0 0 0 0 10 1 0 4 9 27 0 1 0 0 6 0 0 0 0 2 0 0 0 0 19 0 0 0 0 0 3 4 0 4 0 2 0 0 0 0 0 0
"AIZK_04" 0 0 2 16 0 0 0 0 0 0 1 6 0 0 0 0 0 2 0 4 0 4 0 6 0 0 2 0 0 0 0 1 19 1 0 4 0 3 3 0 0 0 4 22 6 1 0 0 7 0 0 3 1 0 0 0 2 6 7 0 0 0 0 0 2 4 0 2 1 5 0 0 0 0 0 1
"AIZK_05" 0 0 5 12 0 0 0 0 0 0 0 22 0 0 1 0 0 1 0 1 0 0 1 3 10 0 4 0 0 4 0 1 15 0 1 27 0 2 0 0 0 0 70 12 4 10 0 0 0 0 2 28 0 2 0 0 0 1 2 0 0 0 0 0 1 5 1 32 0 8 1 0 0 0 0 0
"AIZK_06" 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 5 1 1 0 0 0 0 0 3 0 17 22 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 1 0 0 0 1 1 0
"AIZK_07" 0 0 13 17 0 0 0 4 0 0 0 3 0 0 0 0 0 0 0 0 0 10 2 21 1 12 0 0 0 0 0 0 10 0 6 0 0 0 29 0 0 0 21 52 0 7 0 0 7 0 0 4 2 5 0 2 0 0 0 0 0 0 0 0 1 3 2 4 0 4 0 0 0 0 2 0
"AIZK_08" 0 0 3 9 0 0 2 0 0 0 0 6 0 0 0 0 0 0 0 7 0 23 0 14 3 18 2 0 0 0 0 0 8 0 0 17 0 0 29 0 0 0 4 3 0 2 2 0 0 13 0 0 0 0 0 3 2 10 10 0 0 4 0 0 0 8 0 1 0 0 0 0 0 0 0 0
"AIZK_09" 0 0 0 2 0 0 0 1 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 6 1 34 0 0 0 0 0 0 15 0 0 25 0 1 3 0 0 0 26 8 0 1 2 0 0 3 0 1 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 4 1 0 0 0 0 0 0 0
"AIZK_10" 0 0 15 8 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 2 0 14 4 62 1 0 0 0 0 0 23 3 0 98 0 1 2 0 0 0 12 8 0 1 1 0 0 0 0 0 0 0 0 0 0 16 12 0 0 2 0 0 0 1 1 4 0 0 0 0 0 0 0 0
