"","X","Ancylus","Anisus","Belgrandia","Bythinella","Bythiospeum","Dugesia","Dina","Echinogammarus","Galba","Glossiphonia","Gyraulus","Helobdella","Pacifastacus","Pisidium","Polycelis","Potamopyrgus","Radix","Stagnicola","Theodoxus","Aulonogyrus","Agabus","Dryops","Dupophilus","Dytiscus","Elmis","Elodes","Esolus","Helophorus","Hydraena","Hydrochus","Hydrocyphon","Hydroporus","Limnius","Macronychus","Normandia","Orectochilus","Oulimnius","Pomatinus","Stenelmis","Atherix","Chironomini","Culicinae","Dixa","Eriopterini","Hexatomini","Limoniini","Liponeura","Pediciini","Ptychopteridae","Tabanidae","Tanypodinae","Tanytarsini","Thaumaleidae","Tipulidae","Acentrella","Baetis","Caenis","Centroptilum","Ecdyonurus","Epeorus","Ephemera","Habroleptoides","Habrophlebia","Heptagenia","Paraleptophlebia","Potamanthus","Rhithrogena","Gerris","Hydrometra","Mesovelia","Microvelia","Velia","Acentria","Sialis","Boyeria","Calopteryx","Cordulegaster","Gomphus","Onychogomphus","Ophiogomphus","Amphinemura","Chloroperla","Dinocras","Isoperla","Leuctra","Marthamea","Nemoura","Perla","Protonemura","Agapetus","Athripsodes","Calamoceras","Crunoecia","Chimarra","Ernodes","Glossosoma","Goera","Halesus","Holocentropus","Hydropsyche","Hydroptila","Lepidostoma","Lype","Lithax","Micrasema","Mystacides","Notidobia","Odontocerum","Oecetis","Oecismus","Orthotrichia","Philopotamus","Plectrocnemia","Polycentropus","Psychomyia","Rhyacophila","Sericostoma","Setodes","Silo","Tinodes","Clinocerinae"
"1","GORB_01",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,4,0,0,0,0,1,0,0,0,0,6,4,0,0,0,22,6,0,21,0,0,26,63,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,39,0,0,1,5,0,0,2,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,1,0,0,0,1,1,18,0,4,3,0,0,0,1
"2","GORB_02",0,0,0,2,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,3,3,0,1,0,154,32,0,65,6,0,46,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,17,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,26,0,0,0,0
"3","GORB_03",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,4,19,0,0,0,16,0,0,15,0,1,70,57,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,58,3,0,2,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0,2,0,18,0,0,3,0,0,0,0
"4","GORB_04",1,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,9,0,0,0,0,3,0,0,0,0,4,7,0,0,0,23,4,0,49,11,3,9,5,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,2,2,0,0,0,0,0,0,0,0,8,0,15,0,10,18,0,0,0,0
"5","GORB_05",1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,15,6,0,0,9,15,1,0,86,12,0,31,11,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,15,0,0,2,0,0,0,0,0,2,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,1,0,4,0,40,0,4,5,0,0,0,0
"6","GORB_06",0,0,0,3,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,0,1,0,0,0,0,0,5,0,3,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,4,5,0,0,6,26,0,0,93,10,0,15,10,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,2,0,6,0,21,8,0,0,0,0
"7","GORB_07",12,0,0,6,0,1,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,3,7,0,0,0,0,1,0,0,0,0,4,9,0,0,0,33,3,0,86,4,0,1,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,18,0,0,0,0,1,0,0,0,0,0,0,16,0,4,15,0,0,0,0
"8","GORB_08",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,21,0,0,0,0,0,0,1,2,0,4,0,0,0,3,0,2,5,24,0,0,0,0,0,0,0,0,0,2,4,0,0,0,10,0,0,3,3,2,5,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0
"9","GORB_09",0,0,0,0,0,3,0,1,0,0,0,0,9,0,0,5,0,1,0,0,0,0,4,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,32,0,0,0,0,0,0,0,0,0,1,7,0,0,0,8,2,0,39,0,2,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,12,0,4,5,0,0,0,0
"10","GORB_10",1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5,1,0,64,3,1,6,13,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,18,0,0,2,0,0,0,1
