"var1" "var13" "var14" "var17" "var18" "var21" "var22"
"Aeshnidae" 5.591 3.5 1.417 1.421 1.684 2.955 4.5
"Astacidae" 7 3 1.1 2.533 1.1 2.5 4.5
"Athericidae" 4.5 3.214 2 2.222 1.375 2.636 5.75
"Baetidae" 3.045 3.697 1.367 2.357 2.081 2.973 4.915
"Beraeidae" 2.833 2.619 1.222 2.158 1.857 1.812 5.24
"Blephariceridae" 3 2.75 2 4 1 1.545 0
"Brachycentridae" 3.182 3.585 1.385 3 1.364 2.421 4.917
"Caenidae" 2.75 4.765 1.143 1.8 2.111 3.091 5.3
"Calamoceratidae" 4.25 3 1 3.4 1 0 6
"Calopterygidae" 5 4.071 1.4 2.5 1.833 3.167 5
"Ceratopogonidae" 3.062 3.906 1.273 1.5 2 3.286 4.278
"Chironomidae" 3.24 3.547 1.792 2.5 2.136 2.707 3.778
"Chloroperlidae" 3.182 2.889 1.625 3.091 1.1 2 4.429
"Chrysomelidae" 4 5 1.182 1.3 3 0 6
"Cordulegastridae" 5.6 3.333 1.4 2.8 1 2.286 4.5
"Corduliidae" 4.833 5 1.478 1.6 1.6 3.48 4.491
"Culicidae" 2.857 5 1 1.25 2.3 3.438 3.6
"Dixidae" 3 2.857 1.333 2.3 1.714 2.6 4.364
"Dryopidae" 2 3.615 1.25 2.222 2.222 2.667 5.167
"Dugesiidae" 4.333 4.154 1.25 1.714 2.2 2.571 4
"Dytiscidae" 2.92 3.677 1.226 1.222 2.404 3.247 4.588
"Elmidae" 2.1 3.298 1.237 2.882 1.468 2.556 5.176
"Empididae" 3 2.833 1.9 3.429 2 2.667 4.714
"Ephemerellidae" 3 3.697 1.25 3 1.5 2.4 4.857
"Ephemeridae" 5 4.4 1 2.167 2 2.667 5.286
"Gammaridae" 4.8 4.65 1.308 2.077 1.417 2.353 4.522
"Gerridae" 3.75 4.429 1.667 2 2.143 3.2 4.417
"Glossosomatidae" 3 2.571 1.615 2.696 1.118 1.789 5.571
"Goeridae" 3.357 3.211 1.467 2.913 1.5 2.364 5.353
"Gomphidae" 5 3.263 1.167 2.45 1.647 2.895 4.517
"Gyrinidae" 2.667 5 1.1 1.778 2.385 2.889 4.579
"Helophoridae" 2.5 0 1.6 1.25 2.4 3.286 4.154
"Heptageniidae" 3.938 3.333 1.724 3.037 1.619 2.333 5.071
"Hirudinea" 5.085 3.986 1 2.051 2.22 3.5 4.831
"Hydraenidae" 2 2.929 1.5 2.333 2.133 2.8 4.727
"Hydrobiidae" 2.294 3.167 1.071 2.192 1.833 2.35 6
"Hydrochidae" 2 0 1 1 3 3.833 4.071
"Hydrometridae" 3.75 3.5 1 1.5 2 3.6 5
"Hydropsychidae" 3.5 3.553 1.462 3.118 2 2.692 5
"Hydroptilidae" 1.912 3.839 1.276 2.269 1.872 2.647 5.211
"Lepidostomatidae" 3.4 2.926 1.273 2.267 1.357 2.1 5.105
"Leptoceridae" 3.308 4.471 1.121 1.982 1.978 2.978 4.73
"Leptophlebiidae" 3.318 3.608 1.444 1.92 1.667 2.643 5.083
"Leuctridae" 3.636 3.094 1.8 2.714 1.417 2.333 4.256
"Limnephilidae" 4.2 2.854 1.61 2.561 1.5 2.195 4.747
"Limoniidae" 3.231 4 1.462 2.467 1.714 3.167 4.069
"Lymnaeidae" 4.8 3.87 1.538 1.654 2.158 3 4.703
"Mesoveliidae" 2 2.5 1 1.25 2 3 5
"Nemouridae" 2.933 2.293 1.773 2.773 1.333 1.7 3.944
"Neritidae" 3.25 5.625 1 3 1.714 2.75 5.75
"Odontoceridae" 4.25 3.4 1.8 3.25 1 2.25 4.875
"Oligochaeta" 3.968 3.867 1.223 2.056 2.139 3.149 4.671
"Pediciidae" 5.167 3.4 1.6 2.4 1.5 0 4.071
"Perlidae" 4.538 3.344 1.962 3.294 1 1.929 5.333
"Perlodidae" 4.333 3.083 1.882 3.2 1.261 1.714 5.2
"Philopotamidae" 3.3 2.844 1.5 3.25 1.182 1.8 5.143
"Planariidae" 4.25 2.531 1.684 2.524 1.733 2.565 4.429
"Planorbidae" 3.105 4.075 1.147 1.578 1.978 2.939 4.954
"Polycentropodidae" 3.81 4.294 1.522 1.839 1.875 2.774 4.328
"Polymitarcyidae" 4 4.917 1 2.5 3 3.333 6
"Potamanthidae" 4 5.333 1 2.25 2.5 3.4 6
"Psychomyiidae" 3 3.596 1.25 2.192 2.286 2.9 4.667
"Ptychopteridae" 5.25 1.75 1 1.5 3 4.167 4.2
"Pyralidae" 4.143 3.381 1.125 1.5 2.143 3.045 4.821
"Rhagionidae" 4.25 2.9 2 2.6 2 0 5.25
"Rhyacophilidae" 4 2.396 1.97 3.118 1.1 1.857 4.154
"Scirtidae" 2.062 2.632 1.118 1.889 2.375 0 4.281
"Sericostomatidae" 4 2.886 1.5 2.316 1.25 2.4 4.5
"Sialidae" 4.4 3.333 1.875 1.875 1.833 3.5 3.933
"Simuliidae" 2.667 3.062 2.1 3.4 1.625 2.429 4.316
"Sphaeriidae" 3.3 4.192 1.6 1.727 1.8 2.917 4.619
"Stratiomyiidae" 4.167 3.286 1.75 1.667 1.333 2.4 5.4
"Tabanidae" 5.25 4.286 1.25 1.8 2.5 3 4.125
"Thaumaleidae" 4 1.667 2 3.2 1 2 5.75
"Tipulidae" 5.4 3.75 1.5 1.667 1.667 2.333 3.643
"Veliidae" 2 3.273 1.333 1.625 1.75 2.714 4.35
