"var1" "var2" "var4" "var5" "var6" "var7" "var8" "var9" "var10" "var11" "var12" "var13" "var14" "var15" "var16" "var17" "var18" "var19" "var20" "var21" "var22"
"Aeshnidae" 5.591 1.85 1.621 5.88 3.2 4.091 1.75 3.935 8 7 3.515 3.5 1.417 3.128 6.277 1.421 1.684 1.1 2.75 2.955 4.5
"Astacidae" 7 2 2.269 2.412 2 4 2 4.053 6.048 4.25 3.632 3 1.1 3 3.231 2.533 1.1 1.1 2.071 2.5 4.5
"Athericidae" 4.5 1.25 2 7 2.6 5 2 4.333 8 6 3.75 3.214 2 3.286 4.182 2.222 1.375 1 3 2.636 5.75
"Baetidae" 3.045 1 1.5 3.083 2.469 3.364 1.667 3.529 4.114 3.594 3.37 3.697 1.367 2.768 3.983 2.357 2.081 1.125 2.913 2.973 4.915
"Beraeidae" 2.833 1.077 2 4.143 3 0 1.176 4.115 3.974 3.118 3.222 2.619 1.222 2.973 4.744 2.158 1.857 1 1.727 1.812 5.24
"Blephariceridae" 3 1 2 4 2 3.25 1.75 5.857 4 4 2 2.75 2 2.7 1 4 1 1 1.7 1.545 0
"Brachycentridae" 3.182 1.111 2 4 3.25 5 1.4 5.5 4.207 4.087 2.75 3.585 1.385 2.793 3.172 3 1.364 1 2 2.421 4.917
"Caenidae" 2.75 1 1.5 2.667 2.333 2.375 1.75 4.25 2.786 2.143 3.619 4.765 1.143 3.083 5.424 1.8 2.111 1.143 2.857 3.091 5.3
"Calamoceratidae" 4.25 1 2 4.75 3.5 0 1.5 4 3 3 3 3 1 2.6 2.111 3.4 1 1 2 0 6
"Calopterygidae" 5 1.5 1.5 6 2.4 4.5 1.75 3.8 8 7 4 4.071 1.4 3.083 5.2 2.5 1.833 1 3 3.167 5
"Ceratopogonidae" 3.062 1 2.368 3.923 3.083 4.2 2 3.87 4.731 3.643 4.058 3.906 1.273 3.231 5.4 1.5 2 1.412 2.8 3.286 4.278
"Chironomidae" 3.24 1 2.467 4.565 2.357 4.882 1.25 4.632 4.558 4.469 3.93 3.547 1.792 3 4.662 2.5 2.136 1.25 2.077 2.707 3.778
"Chloroperlidae" 3.182 1.4 1.5 3.2 1.938 5 1 4.412 5.742 3.647 2 2.889 1.625 2.3 3.722 3.091 1.1 1 2.2 2 4.429
"Chrysomelidae" 4 1.75 2.138 4 3.8 2 3.2 5.5 4.75 3.1 3.062 5 1.182 3 5 1.3 3 1 3 0 6
"Cordulegastridae" 5.6 2 1.6 3.25 2.8 5 1.75 4.8 8 7 2 3.333 1.4 3 4.786 2.8 1 1 2.5 2.286 4.5
"Corduliidae" 4.833 1.938 1.5 3.263 3.227 4.833 1.75 4.304 7.8 7 3.569 5 1.478 2.806 6.386 1.6 1.6 1 3 3.48 4.491
"Culicidae" 2.857 1 2.286 3.889 3.6 2.778 4 2.1 4.333 4.636 4 5 1 3 6 1.25 2.3 1.4 2.625 3.438 3.6
"Dixidae" 3 1 1.917 4.8 1.6 4 4 3.308 4.467 5.333 3.545 2.857 1.333 3.208 4.81 2.3 1.714 1.25 2 2.6 4.364
"Dryopidae" 2 1.75 2.4 6.857 3.5 5 2.588 3.8 3.5 3.5 2.692 3.615 1.25 3 5.381 2.222 2.222 1.143 3 2.667 5.167
"Dugesiidae" 4.333 2 2.333 6 2 2.333 1 3.667 8 7 3.75 4.154 1.25 3 4.333 1.714 2.2 1.25 2.2 2.571 4
"Dytiscidae" 2.92 1.85 2.132 4.427 3.236 5 3.25 3.21 7.791 4.502 3.228 3.677 1.226 3.088 6.533 1.222 2.404 1.089 2.86 3.247 4.588
"Elmidae" 2.1 1.75 2.125 4 2.49 5 2.338 3.717 3.5 3.714 2.5 3.298 1.237 3 2.883 2.882 1.468 1 2.765 2.556 5.176
"Empididae" 3 1 2.545 7 2.75 0 2.5 4.75 7.636 7 3.167 2.833 1.9 2.857 4.207 3.429 2 1.143 2.667 2.667 4.714
"Ephemerellidae" 3 1 1.5 3.25 2.533 3.714 1.75 3.909 4.067 3.889 2.786 3.697 1.25 2.632 4.36 3 1.5 1 2.833 2.4 4.857
"Ephemeridae" 5 1.75 1.5 3.25 3 2.8 1.75 4.8 3.75 4.125 3.4 4.4 1 2.5 4.625 2.167 2 1 3 2.667 5.286
"Gammaridae" 4.8 1.9 2.333 1 1.25 5 1.9 4.211 4.333 3.1 3.862 4.65 1.308 3 4.322 2.077 1.417 1.182 2 2.353 4.522
"Gerridae" 3.75 1.6 2.6 5.333 2.833 3.167 4 1.571 7.5 6.25 3.611 4.429 1.667 3.111 5 2 2.143 1.4 3 3.2 4.417
"Glossosomatidae" 3 1.062 2 4 2.458 3.933 1 5.304 3.828 3.938 2.645 2.571 1.615 2.974 2.75 2.696 1.118 1 1.8 1.789 5.571
"Goeridae" 3.357 1 2 3.714 2.8 5 1.6 4.565 3.458 3.75 2.9 3.211 1.467 3.143 2.258 2.913 1.5 1.077 2.5 2.364 5.353
"Gomphidae" 5 2 1.5 2.733 2.652 2 1.75 4.696 7.95 7 2.75 3.263 1.167 3.16 4 2.45 1.647 1 2.692 2.895 4.517
"Gyrinidae" 2.667 1.75 2.125 4 2.941 5 2.714 2.8 7.75 4.5 2.966 5 1.1 3.433 4.8 1.778 2.385 1.1 3 2.889 4.579
"Helophoridae" 2.5 1.75 2.75 7 3 5 3.75 3.143 3.5 3.75 3.462 0 1.6 3 7.4 1.25 2.4 1.4 3 3.286 4.154
"Heptageniidae" 3.938 1.167 1.5 3.053 2.525 3.458 1.75 3.933 3.206 3.545 2.727 3.333 1.724 2.622 2.625 3.037 1.619 1 2.438 2.333 5.071
"Hirudinea" 5.085 1.775 2.188 3.4 1.711 5 1 4.697 7.962 6.778 3.588 3.986 1 3.118 3.954 2.051 2.22 1.22 3 3.5 4.831
"Hydraenidae" 2 1.75 2.312 7 2.765 5 3.533 3.143 3.5 3.75 3.28 2.929 1.5 3 4.346 2.333 2.133 1.308 2.8 2.8 4.727
"Hydrobiidae" 2.294 1.278 2.5 2.933 1.435 4.444 1.75 4.3 4.186 3.87 3.125 3.167 1.071 3.068 4.417 2.192 1.833 1.222 1.938 2.35 6
"Hydrochidae" 2 1.75 3 7 3.5 5 3.75 3.143 3.5 3.75 2.909 0 1 3 7.182 1 3 1 3 3.833 4.071
"Hydrometridae" 3.75 1 3 5.25 2.2 4 4 2.429 6.714 6 3.625 3.5 1 3.167 4 1.5 2 1.25 3 3.6 5
"Hydropsychidae" 3.5 1.1 2 4 2.48 5 1.5 5.8 4.565 5.5 2.611 3.553 1.462 2.742 2.679 3.118 2 1 2.182 2.692 5
"Hydroptilidae" 1.912 1 2 4 2.581 5 1.133 4.872 4.034 4.622 3.418 3.839 1.276 2.819 4.395 2.269 1.872 1.1 2.615 2.647 5.211
"Lepidostomatidae" 3.4 1.4 2 4 2.615 5 1.5 4 3.067 3.1 3.2 2.926 1.273 3 4.485 2.267 1.357 1.1 2 2.1 5.105
"Leptoceridae" 3.308 1.032 2 4.032 2.768 4.926 1.467 3.863 4.358 3.462 3.615 4.471 1.121 2.947 4.495 1.982 1.978 1.189 2.875 2.978 4.73
"Leptophlebiidae" 3.318 1 1.5 3.105 2.594 3.895 1.75 4.129 2.895 2.885 3.209 3.608 1.444 2.712 4.717 1.92 1.667 1 3 2.643 5.083
"Leuctridae" 3.636 1.4 1.5 3 2 4.6 1 4.409 3.5 2.917 2.808 3.094 1.8 2.6 4.479 2.714 1.417 1 2.5 2.333 4.256
"Limnephilidae" 4.2 1.081 2.039 4.6 2.911 4.462 1.475 4 4.246 3.366 3.581 2.854 1.61 2.882 4.374 2.561 1.5 1.053 2.189 2.195 4.747
"Limoniidae" 3.231 1 1.455 3.167 2.778 5 3.7 4.75 4.545 4 4.304 4 1.462 3 4.82 2.467 1.714 1.1 2.5 3.167 4.069
"Lymnaeidae" 4.8 1.263 2.269 4.062 1.375 4 1 3.765 4.556 4.045 3.381 3.87 1.538 2.879 5.145 1.654 2.158 1.348 2.882 3 4.703
"Mesoveliidae" 2 1 2.6 5.25 2.667 1.75 4 2.167 7.125 6 2.375 2.5 1 3.333 4.75 1.25 2 1.4 3 3 5
"Nemouridae" 2.933 1.214 1.5 3.214 2.045 4.235 1.25 4 3 2.923 3.143 2.293 1.773 2.512 4.45 2.773 1.333 1 1.769 1.7 3.944
"Neritidae" 3.25 1.25 2.5 3 1.333 4 1.75 5.2 5 3.75 3.545 5.625 1 3 2.889 3 1.714 1.5 2.75 2.75 5.75
"Odontoceridae" 4.25 1.4 2 7 2.286 5 1.6 4.4 6.222 5 3.25 3.4 1.8 3 3.929 3.25 1 1 1 2.25 4.875
"Oligochaeta" 3.968 2 2.326 5.047 1.18 3.181 1.067 5.238 2.848 2.432 4.253 3.867 1.223 2.848 4.823 2.056 2.139 1.162 2.571 3.149 4.671
"Pediciidae" 5.167 1 1.5 3.5 2 5 4 4.5 6.75 7 4.25 3.4 1.6 3 4.647 2.4 1.5 1 2 0 4.071
"Perlidae" 4.538 2 1.5 3.286 2.25 3.8 1.5 4 6.944 4 2.667 3.344 1.962 2.5 2.8 3.294 1 1 2.412 1.929 5.333
"Perlodidae" 4.333 1.913 1.5 3.818 2.226 3.346 1 4.057 6.431 5.542 3 3.083 1.882 2.489 3.238 3.2 1.261 1 1.875 1.714 5.2
"Philopotamidae" 3.3 1.333 2 4 2.462 4.714 1.182 5.8 3.421 4.75 2.235 2.844 1.5 2.731 3.053 3.25 1.182 1 1.667 1.8 5.143
"Planariidae" 4.25 2 2.333 5.25 1.8 1.143 1 4.182 7.846 7 4 2.531 1.684 2.838 4.355 2.524 1.733 1.077 1.462 2.565 4.429
"Planorbidae" 3.105 1.125 2.421 4 1.455 4.182 1.062 3.795 4.167 3.636 3.051 4.075 1.147 3 4.947 1.578 1.978 1.318 2.909 2.939 4.954
"Polycentropodidae" 3.81 1.125 2 4.067 2.5 4.938 1 5.6 6.543 6.217 3.339 4.294 1.522 3.083 4.293 1.839 1.875 1.167 2.875 2.774 4.328
"Polymitarcyidae" 4 1.25 1.5 2 2.75 1 1.75 5 2 4.25 3 4.917 1 3.714 2.556 2.5 3 1 3 3.333 6
"Potamanthidae" 4 1 1.5 3 2.714 4.667 1.75 4.5 3.111 2.6 2.6 5.333 1 2.5 4.357 2.25 2.5 1 3 3.4 6
"Psychomyiidae" 3 1 2 4 2.429 5 1 6.036 3.912 4.24 3.556 3.596 1.25 2.568 3.195 2.192 2.286 1.062 2.909 2.9 4.667
"Ptychopteridae" 5.25 1 2 2.6 2 4 3 4.429 3.182 2.4 4.2 1.75 1 3 7.333 1.5 3 1 2.667 4.167 4.2
