"X0.25cm" "X0.250.5cm" "X0.51cm" "X12cm" "X24cm" "X48cm" "X8cm" "X1year" "more1year" "less1" "X1year.1" "more1" "egg" "larva" "nymph" "adult" "ovoviviparity" "isolated.eggs.free" "isolated.eggs.cemented" "clutches.cemented.or.fixed" "clutches.free" "clutches.in.vegetation" "clutches.terrestrial" "asexual.reproduction" "aquatic.passive" "aquatic.active" "aerial.passive" "aerial.active" "eggs.statoblasts" "cocoons" "housings.against.desiccation" "diapause.or.dormancy" "none" "microorganisms" "detritus.less.1mm" "dead.plant.more.1mm" "living.microphytes" "living.macrophytes" "dead.animal.more.1mm" "living.microinvertebrates" "living.macroinvertebrates" "vertebrates" "absorber" "deposit.feeder" "shredder" "scraper" "filter.feeder" "piercer" "predator" "parasite" "tegument" "gill" "plastron" "spiracle" "hydrostatic.vesicle" "cold.less.15C" "warm.more.15C" "eurythermic" "less.4" "more.4.4.5" "more.4.5.5" "more.5.5.5" "more.5.5.6" "more.6" "oligotrophic" "mesotrophic" "eutrophic" "xenosaprobic" "oligosaprobic" "b.mesosaprobic" "a.mesosaprobic" "polysaprobic" "freshwater" "brackish.water" "X2..Pyrenees" "X4..Alps" "X8..Vosges.Jura.Massif.Central" "X13a..lowlands.oceanic" "X13b..lowlands.mediterranean" "lowlands" "piedmont.level" "alpine.level" "crenon" "epirithron" "metarithron" "hyporithron" "epipotamon" "metapotamon" "estuary" "outside.river.system" "river.channel" "banks.connected.side.arms" "ponds.pools.disconnected.side.arms" "marshes.peat.bogs" "temporary.waters" "lakes" "groundwaters" "flagsboulderscobblespebbles" "gravel" "sand" "silt" "macrophytes" "microphytes" "twigsroots" "organic.detrituslitter" "mud" "flier" "surface.swimmer" "full.water.swimmer" "crawler" "burrower" "interstitial" "temporarily.attached" "permanently.attached" "null" "slow.less.25.cms" "medium.25.50.cmlesss" "fast.more.50.cms"
"Ancylus" 0 0 3 3 0 0 0 3 0 0 3 0 3 0 0 3 0 0 0 3 0 0 0 0 2 1 1 0 0 0 0 0 2 0 0 2 5 2 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0 1 1 3 2 1 0 1 2 2 2 0 3 2 3 3 3 3 3 3 2 1 2 3 4 1 1 1 0 1 3 3 0 0 1 1 0 5 4 0 0 2 2 1 0 0 0 0 0 3 0 0 2 0 1 1 3 2
"Anisus" 0 0 3 2 0 0 0 3 0 0 3 0 3 0 0 1 0 0 0 3 0 0 0 0 2 1 0 0 1 0 1 3 0 0 0 3 4 3 1 0 0 0 0 0 1 2 0 0 0 0 3 0 0 0 0 0 0 3 0 0 1 1 1 3 3 2 0 0 1 3 1 0 3 2 3 3 3 3 3 3 0 0 0 0 1 2 2 1 0 4 0 3 2 0 3 0 0 3 1 0 0 5 1 0 0 3 0 1 0 3 0 0 0 0 3 1 0 0
"Belgrandia" 0 3 0 0 0 0 0 3 1 0 3 0 3 0 0 3 0 0 0 3 0 0 0 0 3 1 0 0 0 0 0 1 1 0 0 3 2 3 1 0 0 0 0 0 1 3 1 0 0 0 1 3 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 1 2 0 0 0 3 0 3 0 0 0 3 3 0 0 3 2 1 1 0 0 0 0 2 0 0 0 0 0 0 4 2 2 2 4 3 0 1 2 0 1 0 3 1 0 0 0 0 3 1 0
"Bythinella" 0 3 0 0 0 0 0 3 0 0 3 0 3 0 0 3 0 0 3 0 0 0 0 0 3 1 0 0 0 0 0 1 1 0 0 2 1 3 1 0 0 0 0 0 0 3 0 0 0 0 1 3 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 3 1 0 0 0 3 0 3 3 3 1 3 1 1 0 4 1 0 0 0 0 0 0 2 1 0 0 0 0 0 4 0 0 0 4 0 0 0 2 0 0 0 3 1 0 0 0 0 1 2 1
"Bythiospeum" 0 3 0 0 0 0 0 3 0 0 3 0 3 0 0 3 0 0 1 2 0 0 0 0 3 1 0 0 0 0 0 1 1 0 0 3 2 3 1 0 0 0 0 0 1 3 1 0 0 0 1 3 0 0 0 2 0 1 0 0 0 0 0 0 3 0 0 3 1 0 0 0 3 0 0 2 3 1 2 3 0 0 4 2 0 0 0 0 0 0 2 2 0 0 0 0 3 0 0 2 3 0 0 0 0 0 0 0 0 1 0 2 0 0 0 2 1 0
"Dugesia" 0 0 1 2 3 0 0 0 3 0 3 0 3 3 0 3 0 0 0 2 0 0 0 2 0 2 0 0 2 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 3 0 0 0 0 1 2 2 1 2 2 3 3 3 1 2 2 1 2 3 1 0 3 1 1 3 3 3 1 3 1 0 0 1 3 4 3 2 0 2 1 4 2 0 0 3 0 4 0 0 0 2 0 0 2 1 0 1 0 5 0 0 0 0 3 3 1 0
"Dina" 0 0 0 0 3 0 0 1 3 1 3 0 3 3 0 2 0 0 0 3 0 0 0 0 1 1 0 0 0 0 0 0 3 0 0 0 0 0 2 1 3 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 3 0 0 1 3 3 3 0 3 0 0 0 3 3 0 3 0 3 2 3 3 2 3 0 0 0 0 0 0 0 0 0 5 0 1 1 3 4 1 0 1 0 0 0 3 0 0 2 2 0 0 0 4 1 0 1 0 3 1 1 0
"Echinogammarus" 0 0 0 0 3 0 0 0 3 0 0 3 3 3 0 3 3 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 3 0 1 5 2 1 2 2 1 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 1 1 2 2 2 2 0 0 2 2 0 0 3 1 2 2 2 2 2 3 0 0 0 0 0 0 1 3 2 0 3 4 0 0 0 0 0 5 3 1 1 5 2 4 4 0 0 0 2 3 0 0 0 0 0 2 0 0
"Galba" 0 0 0 3 1 0 0 3 0 0 0 3 3 0 0 1 0 0 0 3 0 0 0 0 2 1 0 0 0 0 0 1 0 0 1 3 4 2 1 0 0 0 0 0 1 3 0 0 0 0 3 0 0 0 0 0 0 3 1 2 2 2 2 2 1 1 1 1 1 2 1 1 3 1 3 3 3 3 3 3 3 1 1 3 2 1 1 1 0 4 0 3 2 2 3 0 0 3 1 0 0 4 1 2 0 3 0 0 0 3 0 0 0 0 1 1 2 0
"Glossiphonia" 0 0 0 2 2 0 0 0.333333333333333 3 0.333333333333333 2.66666666666667 0 3 3 0 2.66666666666667 2 0 0 0.333333333333333 0.666666666666667 0 0 0 1.33333333333333 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0.333333333333333 3 0 0 0 0 0 0 3 0 0.333333333333333 0.333333333333333 1 1.33333333333333 3 0 1.66666666666667 0.333333333333333 0 0.666666666666667 2.66666666666667 1.66666666666667 0 3 1 1 1.66666666666667 1.33333333333333 3 1.33333333333333 3 0 0 0.666666666666667 1 1.33333333333333 1 1 1 0 3.33333333333333 0.666666666666667 2.33333333333333 3 0.666666666666667 0 2.66666666666667 0 3.33333333333333 1 0 0 3.66666666666667 0 0.333333333333333 0.666666666666667 0 0 0 0 3.66666666666667 0.333333333333333 0 1 0 2.33333333333333 2 1 0.666666666666667
