"pH" "Conductivity_.µS.cm." "O2_sat" "O2_conc" "Cl_.mg.L._avg" "SO4_.mg.L._avg" "NO3_.mg.L._avg" "N.NH4_.mg.L._avg" "DIN.N.mg.L." "P.PO4_.µg.L." "tree_cover_." "BARE_SOIL_._19_23" "GRASSLAND_._19_23" "SHRUBLAND_._19_23" "NAT_FOREST_._19_23" "PLANT_FOREST_._19_23" "Catchment_area_km2"
"AIZK_01" 7.373 170.2 95 9.3 4.78 11.2833333333333 1.21 0.0121933333333333 0.285533585608601 21.0333333333333 97.552 0.0602387422 0.0318947277 0.0695347207 0.5867377902 0.2515940192 1.2140283873
"AIZK_02" 7.125 86.9 98.5 9.56 4.00333333333333 10.9133333333333 1.2 0.00579444444444444 0.27687568637033 6.86333333333333 69.316 0 0 0.0395200478 0.4985319273 0.4619480249 0.758070161
"AIZK_03" 7.445 113.9 99.1 9.54 3.73 9.56666666666667 1.06666666666667 0.0219011111111111 0.262862215045231 18.42 81.172 0.0094829686 0.0325464801 0.074566559 0.5095494122 0.3737037967 10.5100850385
"AIZK_04" 7.112 78.1 97.2 9.41 4.91333333333333 7.84333333333333 1.56333333333333 0.0103633333333333 0.363521951286778 12.8166666666667 82.316 0 0.045567138 0.0996596916 0.4331083177 0.4212125514 3.5670113128
"AIZK_05" 6.91 53.8 98.6 6.62 4.02666666666667 6.06333333333333 1.19666666666667 0.00919444444444444 0.279522682920535 13.4844444444444 79.612 0.000197384 0.0569920715 0.0627322692 0.5095040968 0.3702866894 2.2891693384
"AIZK_06" 6.701 50.2 97.7 9.69 3.01333333333333 5.40333333333333 0.923333333333333 0.00902777777777778 0.21760973337075 6.32666666666667 83.2 0 0.0110176961 0.0979359671 0.7579065066 0.1331398302 1.2565374822
"AIZK_07" 7.151 105.1 97.1 9.47 2.75666666666667 8.22666666666667 1.09666666666667 0.0133077777777778 0.261045912760045 8.42777777777778 66.508 0.0242426237 0.033847478 0.0523558081 0.8770770322 0.012477058 3.3297574284
"AIZK_08" 6.91 322 95.3 9.68 3.66333333333333 13.0733333333333 1.79333333333333 0.01665 0.421765855989239 8.11222222222222 70.252 0.0202457378 0.1749667562 0.1295370758 0.4267879651 0.2469281512 46.5612734017
"AIZK_09" 7.16 269 99.9 10.08 4.87333333333333 10.45 2.28666666666667 0.0111333333333333 0.527693699892103 4.01555555555556 82.68 0.0192681245 0.1724338263 0.1304829771 0.4144760667 0.2617942994 48.923668395
"AIZK_10" 7.55 264 98.2 9.54 4.66333333333333 10.9 2.29 0.00785444444444444 0.525167814453009 15.5533333333333 77.376 0.0176710644 0.1727534238 0.1280774712 0.3950337491 0.2842585574 53.6058159043
"ARAL_01" 8.369 399 104.2 8.75 5.00333333333333 11.32 1.93 0.0201333333333333 0.456122330764132 10.2666666666667 71.812 0.0228880797 0.1533257116 0.0677174056 0.5592355544 0.1934831005 69.5181500823
"ARAL_02" 8.193 353 97.9 8.89 5.16666666666667 19.7 2.63666666666667 0.00628777777777778 0.601913506564931 4.67222222222222 86.736 0.0066212612 0.0646863176 0.0813089232 0.1957264613 0.6516570368 2.8231080205
"ARAL_03" 8.215 502 97.3 8.32 6.42 81.9333333333333 4.11333333333333 0.0122777777777778 0.941484034823728 4.04555555555556 82.628 0.0045542704 0.0336467435 0.0047331281 0.18897423 0.768091628 2.221515395
"ARAL_04" 7.931 186.4 99.4 9.92 4.04333333333333 12.81 1.31 0.0137688888888889 0.30969924465798 2.22111111111111 79.716 0.0673283002 0.2880635824 0.0825310727 0.4950019123 0.0578654587 17.2938848983
"ARAL_05" 8.187 217 102.5 9.41 4.51 14.2333333333333 1.42333333333333 0.0172577777777778 0.338790250839869 8.01444444444444 89.752 0.0470813414 0.2003592979 0.066769124 0.6300652033 0.0493731253 25.0745184131
"ARAL_06" 7.818 244 98.4 10.6 5.21333333333333 9.56333333333333 2.56333333333333 0.0110144444444444 0.590074097336127 4.18333333333333 86.528 0 0.1106163681 0.1121333818 0.7353075925 0.0409021701 1.8975362688
